video_id,start_s,end_s,attention,blouse,notes
captures_ilyas_safe_safe_blooza_good_d9613235,0.000,69.030,distracted,properly_worn,
captures_ilyas_safe_safe_bloza_bad_53db6df4,0.000,68.470,attentive,badly_worn,
captures_ilyas_safe_safe_distracted_bloza_bad_2_59414d66,0.000,40.130,distracted,badly_worn,
captures_ilyas_safe_safe_distracted_bloza_bad_3a96ef19,0.000,8.000,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191341_97d66667,0.000,6.800,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191350_263856be,0.000,3.570,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191355_46d6619f,0.000,2.230,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191358_4aafa58a,0.000,3.070,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191402_e57c05ae,0.000,3.570,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191406_331fb084,0.000,2.700,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191410_c1410206,0.000,2.930,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191422_1ca22516,0.000,3.030,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191432_94f35294,0.000,3.630,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191437_b4f77bb8,0.000,4.600,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191443_d5f47cf0,0.000,3.670,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191449_9b22a9b0,0.000,2.930,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191452_905ecd36,0.000,4.930,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191500_04cdc6f3,0.000,4.470,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191509_7b90305f,0.000,3.400,distracted,badly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190728_e80f86ad,0.000,3.000,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190733_1fc29c35,0.000,2.700,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190737_7b320cb4,0.000,2.330,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190742_244e888a,0.000,2.870,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190752_e66b89bf,0.000,3.570,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190747_0c868d1b,0.000,3.330,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190804_f59e5432,0.000,3.100,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190758_3ce5e767,0.000,4.070,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190809_a6db35e7,0.000,3.030,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190814_ff020958,0.000,3.670,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190820_4a2b451c,0.000,3.230,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190826_18fb6e07,0.000,4.730,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190832_367f080a,0.000,2.600,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190842_d8ac1c1c,0.000,4.030,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190850_aa5bffa1,0.000,3.500,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190855_2dd5390e,0.000,3.730,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190901_c8f1dab5,0.000,3.700,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190907_1cfbe666,0.000,3.300,attentive,properly_worn,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190912_fdc9750f,0.000,3.800,attentive,properly_worn,
