video_id,event_time_s,frame,event_role,body_part,event_type,zone_id,spatial_relation,notes
captures_ilyas_safe_safe_blooza_good_d9613235,,,no_danger,none,no_danger_event,machine_danger_volume,outside_volume,
captures_ilyas_safe_safe_bloza_bad_53db6df4,,,no_danger,none,no_danger_event,machine_danger_volume,outside_volume,
captures_ilyas_safe_safe_distracted_bloza_bad_2_59414d66,,,no_danger,none,no_danger_event,machine_danger_volume,outside_volume,
captures_ilyas_safe_safe_distracted_bloza_bad_3a96ef19,,,no_danger,none,no_danger_event,machine_danger_volume,outside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191415_93fd7cb7,2.900,87,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191422_1ca22516,1.433,43,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191426_77046a04,1.333,40,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191452_905ecd36,3.033,91,risk_onset,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191505_b840699c,1.267,38,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190737_7b320cb4,1.300,39,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190733_1fc29c35,1.400,42,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190728_e80f86ad,1.567,47,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190742_244e888a,1.167,35,risk_onset,head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190758_3ce5e767,1.567,47,risk_onset,head,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190804_f59e5432,2.333,70,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190809_a6db35e7,2.000,60,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190814_ff020958,1.667,50,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190820_4a2b451c,2.100,63,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190826_18fb6e07,1.833,55,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190832_367f080a,1.433,43,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190837_300e4d2f,2.267,68,risk_onset,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190842_d8ac1c1c,2.300,69,risk_onset,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190855_2dd5390e,2.268,68,risk_onset,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190901_c8f1dab5,2.100,63,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190907_1cfbe666,2.133,64,risk_onset,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
